,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,clusters
0,1,24,3.5,1,1,0,77,3
1,1,31,3.0,5,0,0,51,2
2,1,31,1.0,4,0,0,47,1
3,3,31,2.0,9,0,0,65,3
4,1,30,4.0,7,0,0,61,2
5,1,36,3.0,2,0,0,68,3
6,1,33,5.0,3,1,0,57,2
7,2,36,3.0,3,0,0,85,3
8,1,51,4.0,11,0,0,75,3
9,1,29,5.0,2,1,0,76,3
10,2,40,5.0,12,1,0,50,1
11,1,40,3.0,10,0,0,46,1
12,1,34,3.0,4,0,0,52,1
13,1,37,3.0,10,0,0,82,3
14,1,30,5.0,6,1,0,58,2
15,1,31,4.0,4,1,0,47,1
16,1,26,5.0,3,0,0,56,2
17,1,40,5.0,6,1,0,50,1
18,1,49,3.0,7,1,0,64,3
19,1,27,2.0,5,0,0,65,3
20,1,37,5.0,3,0,0,47,1
21,1,25,3.5,1,0,0,80,3
22,1,30,1.0,3,0,0,83,3
23,1,41,3.0,4,0,0,76,3
24,1,29,4.0,6,1,0,58,2
25,1,33,3.0,7,1,1,62,3
26,1,34,4.0,6,1,0,50,1
27,1,34,3.0,3,1,0,87,3
28,1,52,1.0,10,0,0,61,2
29,1,30,2.0,3,0,0,50,1
30,2,34,4.0,7,0,0,87,3
31,2,43,1.0,14,0,0,52,1
32,1,29,3.5,1,1,0,85,3
33,1,35,3.0,3,1,0,52,1
34,4,40,3.0,12,0,0,77,3
35,2,33,4.0,9,0,0,83,3
36,1,30,3.0,2,1,0,55,1
37,2,42,1.0,3,1,0,46,1
38,3,29,1.0,3,0,0,51,1
39,1,25,3.5,1,0,0,88,3
40,1,26,5.0,4,1,0,90,3
41,1,27,2.0,3,0,0,52,1
42,1,34,5.0,5,1,0,66,2
43,1,26,4.0,5,0,0,45,1
44,1,52,5.0,18,0,0,80,3
45,1,26,5.0,2,1,0,54,1
46,3,27,3.0,2,0,0,83,3
47,1,31,3.5,1,1,0,84,3
48,1,33,4.0,8,1,0,59,2
49,1,36,5.0,4,1,0,49,1
50,1,57,1.0,26,0,0,76,3
51,2,46,1.0,7,0,0,49,1
52,1,30,2.0,3,0,0,50,1
53,1,21,3.5,1,1,0,56,2
54,1,26,3.5,1,1,0,85,3
55,2,40,3.0,6,0,0,81,3
56,2,32,3.0,6,0,0,79,3
57,1,36,3.0,2,1,0,61,2
58,1,28,2.0,2,0,0,62,2
59,1,29,5.0,4,1,0,56,2
60,1,38,4.0,4,0,0,49,1
61,1,31,2.0,4,1,0,78,3
62,1,29,1.0,4,0,0,46,1
63,1,23,3.5,1,0,0,81,2
64,1,41,4.0,6,1,0,60,2
65,1,29,5.0,2,1,0,74,3
66,1,29,2.0,5,0,0,51,1
67,1,28,3.0,3,0,0,59,2
68,2,28,5.0,4,1,0,84,3
69,1,31,1.0,6,0,0,64,3
70,1,36,3.0,4,0,0,76,3
71,3,26,3.0,4,1,0,57,2
72,1,29,3.0,2,0,0,84,3
73,1,32,4.0,6,0,0,85,3
74,1,40,1.0,10,0,0,50,1
75,2,38,4.0,13,0,0,87,3
76,1,42,5.0,11,1,0,80,3
77,1,33,3.0,6,0,0,68,3
78,1,31,5.0,5,1,0,92,3
79,1,35,3.0,4,0,0,58,2
80,1,58,5.0,6,1,0,51,2
81,1,26,2.0,4,0,0,48,1
82,1,33,3.0,8,1,0,49,2
83,1,30,3.0,3,1,0,80,3
84,1,43,3.0,12,0,0,79,3
85,1,31,4.0,7,0,0,48,2
86,1,32,3.0,5,1,0,86,3
87,2,57,2.0,7,0,0,83,3
88,1,54,4.0,22,0,0,57,2
89,2,37,5.0,8,1,0,82,3
90,2,27,4.0,5,0,0,86,3
91,1,44,3.0,10,0,0,55,2
92,1,37,3.0,10,0,0,81,3
93,1,48,4.0,8,0,0,72,3
94,1,31,3.0,6,1,0,43,1
95,1,28,5.0,5,1,0,60,2
96,1,34,3.0,4,0,0,69,3
97,1,44,1.0,4,0,0,47,1
98,1,27,5.0,2,0,0,50,1
99,1,45,3.0,4,1,0,57,2
100,1,24,4.0,2,0,0,48,1
